Pitcher,PitcherId,Batter,BatterId,TaggedPitchType,RelSpeed,VertApprAngle,HorzApprAngle,ExitSpeed,Distance
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Slider,80.78703,-7.742828,-2.35278,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Fastball,92.56583,-3.937702,0.327976,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Gbur, Ben",1000209259,Slider,80.97467,-6.086454,-1.055715,92.66959,
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Fastball,92.43006,-6.186092,0.22218,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Fastball,92.33917,-5.615489,-0.100161,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Slider,82.87619,-7.909123,-5.30094,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"North, Ben",1000122192,Slider,80.25795,-8.036314,-2.429068,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,88.28087,-5.064518,0.019306,70.73594,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,89.80148,-4.892727,-0.771057,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.36763,-5.281899,-0.32691,88.44111,289.55886
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,91.04173,-5.721618,0.550967,68.0885,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,ChangeUp,81.64829,-5.57312,1.545428,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,ChangeUp,79.89266,-6.986077,0.790059,84.94627,8.04163
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,90.131,-5.365573,-0.278407,75.82369,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,89.78472,-7.62901,0.592392,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,90.69173,-4.55393,1.570756,63.84007,46.41
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,90.18052,-4.246584,-1.319271,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,ChangeUp,81.50635,-7.2359,-1.228531,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,90.29649,-4.828229,0.191152,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,90.08565,-5.159579,-0.093632,79.92773,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,91.42549,-5.212571,0.189299,75.29888,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,ChangeUp,80.91921,-7.354667,0.307294,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Slider,80.42486,-7.073897,-3.272091,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Slider,79.45633,-8.099216,-2.822209,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,90.13176,-4.957605,1.812076,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Slider,80.3986,-9.060268,-2.631504,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,91.00258,-4.495798,0.387082,81.22653,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,91.06081,-5.909627,-0.829619,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,ChangeUp,86.42452,-6.974975,-0.625043,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,ChangeUp,83.11106,-5.796996,-1.76334,,
,,,,,,,,,
